dataset,Classifier,weighting_strategy,hardness_metric,metric,gain_index,gain_disparity,n_runs,wins,win_rate
BCWDD,GaussianNB,curriculum,feature_Harmfulness,Precision,-0.03156748645879078,0.03602272673869813,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_Harmfulness,Recall,0.031746031746031744,0.013746434980705423,3,3,1.0
BCWDD,GaussianNB,curriculum,feature_Harmfulness,Specificity,-0.023148148148148178,0.021215628217388184,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_LSC,Balanced Accuracy,0.0016534391534390736,0.009532761445370155,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSC,F1 Score,0.00027249196086021055,0.011871559698939955,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSC,Precision,-0.0071216762892266266,0.014477417287099954,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSC,Recall,0.007936507936507908,0.013746434980705326,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSC,Specificity,-0.00462962962962965,0.008018753738744838,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_LSR,Balanced Accuracy,0.0,0.011904761904761862,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSR,F1 Score,-0.00028491433510543135,0.012707719140018855,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSR,Precision,-0.0002519294733652755,0.002801860658543116,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSR,Recall,-3.700743415417188e-17,0.02380952380952378,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_LSR,Specificity,0.0,0.0,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_MV,Balanced Accuracy,-0.007936507936507945,0.006873217490352695,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_MV,F1 Score,-0.008693534065096986,0.007529388257193817,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_MV,Precision,-0.0012707576661064774,0.0016767898699137317,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_MV,Recall,-0.01587301587301589,0.013746434980705392,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_MV,Specificity,0.0,0.0,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_N1,Balanced Accuracy,0.008928571428571433,0.013346849253049546,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_N1,F1 Score,0.0057116739910494,0.01802634215546147,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_N1,Precision,-0.018462350487499484,0.02540227982371758,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_N1,Recall,0.031746031746031744,0.013746434980705423,3,3,1.0
BCWDD,GaussianNB,curriculum,feature_N1,Specificity,-0.013888888888888914,0.013888888888888895,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_N2,Balanced Accuracy,-0.007936507936507945,0.006873217490352695,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_N2,F1 Score,-0.008693534065096986,0.007529388257193817,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_N2,Precision,-0.0012707576661064774,0.0016767898699137317,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_N2,Recall,-0.01587301587301589,0.013746434980705392,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_N2,Specificity,0.0,0.0,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_TD_P,Balanced Accuracy,0.0009920634920634885,0.019816452733569835,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_TD_P,F1 Score,-0.002726820298749155,0.02469435759327175,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_TD_P,Precision,-0.02083516322646754,0.03926336964402016,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_TD_P,Recall,0.01587301587301589,0.03636964837266544,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_TD_P,Specificity,-0.013888888888888914,0.024056261216234446,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_TD_U,Balanced Accuracy,0.001984126984127014,0.018901348098470078,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_TD_U,F1 Score,-0.004686101327797528,0.026060430140737025,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_TD_U,Precision,-0.03737814405516263,0.03813032041279913,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_TD_U,Recall,0.031746031746031744,0.013746434980705423,3,3,1.0
BCWDD,GaussianNB,curriculum,feature_TD_U,Specificity,-0.02777777777777783,0.02405626121623445,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_kDN,Balanced Accuracy,0.006613756613756627,0.01643155853016536,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_kDN,F1 Score,0.0020637031748159305,0.023179523569133807,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_kDN,Precision,-0.025509566837041347,0.03674777006939972,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_kDN,Recall,0.031746031746031744,0.013746434980705423,3,3,1.0
BCWDD,GaussianNB,curriculum,feature_kDN,Specificity,-0.018518518518518563,0.02121562821738818,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_CB,Balanced Accuracy,-0.0039682539682539915,0.013746434980705359,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_CB,F1 Score,-0.004600883420722253,0.014617792199867582,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_CB,Precision,-0.0004656046870404514,0.0027974812221982586,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_CB,Recall,-0.007936507936507983,0.027492869961410718,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_CB,Specificity,0.0,0.0,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_CL,Balanced Accuracy,-0.004960317460317443,0.016511227159814835,3,2,0.6666666666666666
BCWDD,GaussianNB,self_paced,feature_CL,F1 Score,-0.0025606163709873306,0.020538594319134754,3,2,0.6666666666666666
BCWDD,GaussianNB,self_paced,feature_CL,Precision,0.019229630494072187,0.02007689389505972,3,2,0.6666666666666666
BCWDD,GaussianNB,self_paced,feature_CL,Recall,-0.023809523809523836,0.023809523809523836,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_CL,Specificity,0.013888888888888876,0.013888888888888895,3,2,0.6666666666666666
BCWDD,GaussianNB,self_paced,feature_CLD,Balanced Accuracy,-0.00727513227513225,0.014353528051726806,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_CLD,F1 Score,-0.006124725789146394,0.017839216635434103,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_CLD,Precision,0.01249562376006541,0.022792059407395086,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_CLD,Recall,-0.023809523809523836,0.023809523809523836,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_CLD,Specificity,0.009259259259259264,0.016037507477489613,3,1,0.3333333333333333
BCWDD,GaussianNB,self_paced,feature_DCP,Balanced Accuracy,-0.011904761904761937,0.011904761904761973,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_DCP,F1 Score,-0.013117402377854156,0.013109762787111918,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_DCP,Precision,-0.0014956789436593547,0.001593258490120753,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_DCP,Recall,-0.023809523809523836,0.023809523809523836,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_DCP,Specificity,0.0,0.0,3,0,0.0
BCWDD,GaussianNB,self_paced,feature_DS,Balanced Accuracy,-0.003306878306878258,0.007511783526190953,3,1,0.3333333333333333
